Question,Answer
The Office of,The Office of Personnel Management hack has been described by federal officials as among the largest breaches of government data in the history of the United States
Data targeted in,"Data targeted in the breach included personally identifiable information such as Social Security numbers, names, dates and places of birth, addresses, and fingerprints of current and former government employees as well as anyone who had undergone a government background check"
It is believed,It is believed the hack was perpetrated by Chinese hackers.
"In July 2015,","In July 2015, a hacker group known as The Impact Team successfully breached the extramarital relationship website Ashley Madison, created by Avid Life Media"
The group claimed,The group claimed that they had taken not only company data but user data as well
"After the breach,","After the breach, The Impact Team dumped emails from the company's CEO, to prove their point, and threatened to dump customer data unless the website was taken down permanently"
When Avid Life,"When Avid Life Media did not take the site offline the group released two more compressed files, one 9.7GB and the second 20GB"
After the second,"After the second data dump, Avid Life Media CEO Noel Biderman resigned; but the website remained to function."
=== Colonial Pipeline,=== Colonial Pipeline ransomware attack ===
"In June 2021,","In June 2021, the cyber attack took down the largest fuel pipeline in the U.S"
and led to,and led to shortages across the East Coast.
International legal issues,International legal issues of cyber attacks are complicated in nature
There is no,"There is no global base of common rules to judge, and eventually punish, cybercrimes and cybercriminals - and where security firms or agencies do locate the cybercriminal behind the creation of a particular piece of malware or form of cyber attack, often the local authorities cannot take action due to lack of laws under which to prosecute"
Proving attribution for,Proving attribution for cybercrimes and cyberattacks is also a major problem for all law enforcement agencies
"""Computer viruses switch","""Computer viruses switch from one country to another, from one jurisdiction to another – moving around the world, using the fact that we don't have the capability to globally police operations like this"
So the Internet,"So the Internet is as if someone [had] given free plane tickets to all the online criminals of the world."" The use of techniques such as dynamic DNS, fast flux and bullet proof servers add to the difficulty of investigation and enforcement."
The role of,"The role of the government is to make regulations to force companies and organizations to protect their systems, infrastructure and information from any cyberattacks, but also to protect its own national infrastructure such as the national power-grid."
The government's regulatory,The government's regulatory role in cyberspace is complicated
"For some, cyberspace","For some, cyberspace was seen as a virtual space that was to remain free of government intervention, as can be seen in many of today's libertarian blockchain and bitcoin discussions."
Many government officials,"Many government officials and experts think that the government should do more and that there is a crucial need for improved regulation, mainly due to the failure of the private sector to solve efficiently the cyber security problem"
Clarke said during,"Clarke said during a panel discussion at the RSA Security Conference in San Francisco, he believes that the ""industry only responds when you threaten regulation"
If the industry,"If the industry doesn't respond (to the threat), you have to follow through."" On the other hand, executives from the private sector agree that improvements are necessary, but think that government intervention would affect their ability to innovate efficiently"
McCarthy analyzed this,McCarthy analyzed this public-private partnership in cyber security and reflected on the role of cyber security in the broader constitution of political order.
On 22 May,"On 22 May 2020, the UN Security Council held its second ever informal meeting on cyber security to focus on cyber challenges to international peace"
According to UN,"According to UN Secretary-General António Guterres, new technologies are too often used to violate rights."
Many different teams,"Many different teams and organizations exist, including:"
The Forum of,The Forum of Incident Response and Security Teams (FIRST) is the global association of CSIRTs
"The US-CERT, AT&T,","The US-CERT, AT&T, Apple, Cisco, McAfee, Microsoft are all members of this international team."
The Council of,The Council of Europe helps protect societies worldwide from the threat of cybercrime through the Convention on Cybercrime.
The purpose of,"The purpose of the Messaging Anti-Abuse Working Group (MAAWG) is to bring the messaging industry together to work collaboratively and to successfully address the various forms of messaging abuse, such as spam, viruses, denial-of-service attacks and other messaging exploitations"
"France Telecom, Facebook,","France Telecom, Facebook, AT&T, Apple, Cisco, Sprint are some of the members of the MAAWG."
ENISA : The,ENISA : The European Network and Information Security Agency (ENISA) is an agency of the European Union with the objective to improve network and information security in the European Union.
On 14 April,"On 14 April 2016, the European Parliament and the Council of the European Union adopted the General Data Protection Regulation (GDPR)"
"The GDPR, which","The GDPR, which came into force on 25 May 2018, grants individuals within the European Union (EU) and the European Economic Area (EEA) the right to the protection of personal data"
The regulation requires,The regulation requires that any entity that processes personal data incorporate data protection by design and by default
It also requires,It also requires that certain organizations appoint a Data Protection Officer (DPO).
The IT Security,"The IT Security Association TeleTrusT exist in Germany since June 1986, which is an international competence network for IT security."
=== Computer emergency,=== Computer emergency response teams ===
Most countries have,Most countries have their own computer emergency response team to protect network security.
"Since 2010, Canada","Since 2010, Canada has had a cyber security strategy"
This functions as,This functions as a counterpart document to the National Strategy and Action Plan for Critical Infrastructure
The strategy has,"The strategy has three main pillars: securing government systems, securing vital private cyber systems, and helping Canadians to be secure online"
There is also,There is also a Cyber Incident Management Framework to provide a coordinated response in the event of a cyber incident.
The Canadian Cyber,The Canadian Cyber Incident Response Centre (CCIRC) is responsible for mitigating and responding to threats to Canada's critical infrastructure and cyber systems
It provides support,"It provides support to mitigate cyber threats, technical support to respond & recover from targeted cyber attacks, and provides online tools for members of Canada's critical infrastructure sectors"
It posts regular,It posts regular cyber security bulletins & operates an online reporting tool where individuals and organizations can report a cyber incident.
To inform the,"To inform the general public on how to protect themselves online, Public Safety Canada has partnered with STOP.THINK.CONNECT, a coalition of non-profit, private sector, and government organizations, and launched the Cyber Security Cooperation Program"
They also run,"They also run the GetCyberSafe portal for Canadian citizens, and Cyber Security Awareness Month during October."
Public Safety Canada,Public Safety Canada aims to begin an evaluation of Canada's cyber security strategy in early 2015.
Australian federal government,Australian federal government announced an $18.2 million investment to fortify the cyber security resilience of small and medium enterprises (SMEs) and enhance their capabilities in responding to cyber threats
This financial backing,This financial backing is an integral component of the 2023-2030 Australian Cyber Security Strategy
A substantial allocation,"A substantial allocation of $7.2 million is earmarked for the establishment of a voluntary cyber health check program, facilitating businesses in conducting a comprehensive and tailored self-assessment of their cyber security upskill."
This avant-garde health,"This avant-garde health assessment serves as a diagnostic tool, enabling enterprises to ascertain the robustness of Australia's cyber security regulations"
"Furthermore, it affords","Furthermore, it affords them access to a repository of educational resources and materials, fostering the acquisition of skills necessary for an elevated cyber security posture"
This groundbreaking initiative,This groundbreaking initiative was jointly disclosed by Minister for Cyber Security Clare O'Neil and Minister for Small Business Julie Collins.
Hong Kong's Protection,"Hong Kong's Protection of Critical Infrastructures (Computer Systems) Bill (the “Bill”) was passed by the Legislative Council on 19 March 2025, with the purpose to “establish legal requirements for organisations designated as critical infrastructure operators”."
To defend the,"To defend the economy and public safety against the cyber threats of severe disruption, Hong Kong’s new Protection of Critical Infrastructures (Computer Systems) Ordinance (Cap.653) (Ordinance), together with its Code of Practice (CoP) guidelines for gatekeepers at the front line of defence, came into effect on 1 January 2026."
Some provisions for,Some provisions for cyber security have been incorporated into rules framed under the Information Technology Act 2000.
The National Cyber,"The National Cyber Security Policy 2013 is a policy framework by the Ministry of Electronics and Information Technology (MeitY) which aims to protect the public and private infrastructure from cyberattacks, and safeguard ""information, such as personal information (of web users), financial and banking information and sovereign data"""
CERT- In is,CERT- In is the nodal agency which monitors the cyber threats in the country
The post of,The post of National Cyber Security Coordinator has also been created in the Prime Minister's Office (PMO).
The Indian Companies,The Indian Companies Act 2013 has also introduced cyber law and cyber security obligations on the part of Indian directors
Some provisions for,Some provisions for cyber security have been incorporated into rules framed under the Information Technology Act 2000 Update in 2013.
Following cyberattacks in,"Following cyberattacks in the first half of 2013, when the government, news media, television stations, and bank websites were compromised, the national government committed to the training of 5,000 new cyber security experts by 2017"
The South Korean,"The South Korean government blamed its northern counterpart for these attacks, as well as incidents that occurred in 2009, 2011, and 2012, but Pyongyang denies the accusations."
In 2016 the,"In 2016 the National Cyber Security Centre was formed as the central body overseeing cyber-security in the UK, as part of GCHQ"
The UK government,"The UK government published a National Cyber Security Strategy in 2022 assigning £2.6bn for industry, skills and national security"
"In addition, the","In addition, the National Cyber Force, launched in 2020, works with GCHQ and the Ministry of Defence and aims to ""transform the UK’s ability to contest adversaries in cyber space, to protect the country, its people and our way of life""."
The United States,"The United States has its first fully formed cyber plan in 15 years, as a result of the release of this National Cyber plan"
"In this policy,","In this policy, the US says it will: Protect the country by keeping networks, systems, functions, and data safe; Promote American wealth by building a strong digital economy and encouraging strong domestic innovation; Peace and safety should be kept by making it easier for the US to stop people from using computer tools for bad things, working with friends and partners to do this; and increase the United States' impact around the world to support the main ideas behind an open, safe, reliable, and compatible Internet."
cyber strategy seeks,"cyber strategy seeks to allay some of those concerns by promoting responsible behavior in cyberspace, urging nations to adhere to a set of norms, both through international law and voluntary standards"
It also calls,It also calls for specific measures to harden U.S
government networks from,"government networks from attacks, like the June 2015 intrusion into the U.S"
Office of Personnel,"Office of Personnel Management (OPM), which compromised the records of about 4.2 million current and former government employees"
to continue to,"to continue to name and shame bad cyber actors, calling them out publicly for attacks when possible, along with the use of economic sanctions and diplomatic pressure."
"§ 1030, the","§ 1030, the Computer Fraud and Abuse Act is the key legislation"
It prohibits unauthorized,It prohibits unauthorized access or damage of protected computers as defined in 18 U.S.C
Although various other,Although various other measures have been proposed – none have succeeded.
"In 2013, executive","In 2013, executive order 13636 Improving Critical Infrastructure Cybersecurity was signed, which prompted the creation of the NIST Cybersecurity Framework."
In response to,"In response to the Colonial Pipeline ransomware attack President Joe Biden signed Executive Order 14028 on May 12, 2021, to increase software security standards for sales to the government, tighten detection and security on existing systems, improve information sharing and training, establish a Cyber Safety Review Board, and improve incident response."
===== Standardized government,===== Standardized government testing services =====
The General Services,"The General Services Administration (GSA) has standardized the penetration test service as a pre-vetted support service, to rapidly address potential vulnerabilities, and stop adversaries before they impact US federal, state and local governments"
These services are,These services are commonly referred to as Highly Adaptive Cybersecurity Services (HACS).
The Department of,"The Department of Homeland Security has a dedicated division responsible for the response system, risk management program and requirements for cyber security in the United States called the National Cyber Security Division"
The division is,The division is home to US-CERT operations and the National Cyber Alert System
The National Cybersecurity,The National Cybersecurity and Communications Integration Center brings together government organizations responsible for protecting computer networks and networked infrastructure.
The third priority,"The third priority of the FBI is to: ""Protect the United States against cyber-based attacks and high-technology crimes"", and they, along with the National White Collar Crime Center (NW3C), and the Bureau of Justice Assistance (BJA) are part of the multi-agency task force, The Internet Crime Complaint Center, also known as IC3."
In addition to,"In addition to its own specific duties, the FBI participates alongside non-profit organizations such as InfraGard."
The Computer Crime,The Computer Crime and Intellectual Property Section (CCIPS) operates in the United States Department of Justice Criminal Division
The CCIPS is,The CCIPS is in charge of investigating computer crime and intellectual property crime and is specialized in the search and seizure of digital evidence in computers and networks
"In 2017, CCIPS","In 2017, CCIPS published A Framework for a Vulnerability Disclosure Program for Online Systems to help organizations ""clearly describe authorized vulnerability disclosure and discovery conduct, thereby substantially reducing the likelihood that such described activities will result in a civil or criminal violation of law under the Computer Fraud and Abuse Act (18 U.S.C"
The United States,"The United States Cyber Command, also known as USCYBERCOM, ""has the mission to direct, synchronize, and coordinate cyberspace planning and operations to defend and advance national interests in collaboration with domestic and international partners."" It has no role in the protection of civilian networks."
Federal Communications Commission's,"Federal Communications Commission's role in cyber security is to strengthen the protection of critical communications infrastructure, to assist in maintaining the reliability of networks during disasters, to aid in swift recovery after, and to ensure that first responders have access to effective communications services."
The Food and,"The Food and Drug Administration has issued guidance for medical devices, and the National Highway Traffic Safety Administration is concerned with automotive cyber security"
After being criticized,"After being criticized by the Government Accountability Office, and following successful attacks on airports and claimed attacks on airplanes, the Federal Aviation Administration has devoted funding to securing systems on board the planes of private manufacturers, and the Aircraft Communications Addressing and Reporting System"
Concerns have also,Concerns have also been raised about the future Next Generation Air Transportation System.
The US Department,"The US Department of Defense (DoD) issued DoD Directive 8570 in 2004, supplemented by DoD Directive 8140, requiring all DoD employees and all DoD contract personnel involved in information assurance roles and activities to earn and maintain various industry Information Technology (IT) certifications in an effort to ensure that all DoD personnel involved in network infrastructure defense have minimum levels of IT industry recognized knowledge, skills and abilities (KSA)"
Andersson and Reimers,"Andersson and Reimers (2019) report these certifications range from CompTIA's A+ and Security+ through the ICS2.org's CISSP, etc."
===== Computer emergency,===== Computer emergency readiness team =====
Computer emergency response,Computer emergency response team is a name given to expert groups that handle computer security incidents
"In the US,","In the US, two distinct organizations exist, although they do work closely together."
US-CERT: part of,US-CERT: part of the National Cyber Security Division of the United States Department of Homeland Security.
CERT/CC: created by,CERT/CC: created by the Defense Advanced Research Projects Agency (DARPA) and run by the Software Engineering Institute (SEI).
Nuclear Regulatory Commission,"Nuclear Regulatory Commission (NRC) outlines cyber security requirements under 10 CFR Part 73, specifically in §73.54."
===== NEI 08-09:,===== NEI 08-09: Cybersecurity Plan for Nuclear Power Plants =====
The Nuclear Energy,"The Nuclear Energy Institute's NEI 08-09 document, Cyber Security Plan for Nuclear Power Reactors,  outlines a comprehensive framework for cybersecurity in the nuclear power industry"
"NRC, this guideline","NRC, this guideline is instrumental in aiding licensees to comply with the Code of Federal Regulations (CFR), which mandates robust protection of digital computers and equipment and communications systems at nuclear power plants against cyber threats."
There is growing,There is growing concern that cyberspace will become the next theater of warfare
As Mark Clayton,"As Mark Clayton from The Christian Science Monitor wrote in a 2015 article titled ""The New Cyber Arms Race"":"
"In the future,","In the future, wars will not just be fought by soldiers with guns or with planes that drop bombs"
They will also,"They will also be fought with the click of a mouse a half a world away that unleashes carefully weaponized computer programs that disrupt or destroy critical industries like utilities, transportation, communications, and energy"
Such attacks could,"Such attacks could also disable military networks that control the movement of troops, the path of jet fighters, the command and control of warships."
This has led,This has led to new terms such as cyberwarfare and cyberterrorism
The United States,The United States Cyber Command was created in 2009 and many other countries have similar forces.
There are a,There are a few critical voices that question whether cyber security is as significant a threat as it is made out to be.
Cyber security is,Cyber security is a fast-growing field of IT concerned with reducing organizations' risk of getting hacked or data breaches
According to research,"According to research from the Enterprise Strategy Group, 46% of organizations say that they have a ""problematic shortage"" of cyber security skills in 2016, up from 28% in 2015"
"Commercial, government and","Commercial, government and non-governmental organizations all employ cyber security professionals"
The fastest increases,"The fastest increases in demand for cyber security workers are in industries managing increasing volumes of consumer data such as finance, health care, and retail"
"However, the use","However, the use of the term cybersecurity is more prevalent in government job descriptions."
Typical cyber security,Typical cyber security job titles and descriptions include:
Analyzes and assesses,"Analyzes and assesses vulnerabilities in the infrastructure (software, hardware, networks), investigates using available tools and countermeasures to remedy the detected vulnerabilities and recommends solutions and best practices"
Analyzes and assesses,"Analyzes and assesses damage to the data/infrastructure as a result of security incidents, examines available recovery tools and processes, and recommends solutions"
Tests for compliance,Tests for compliance with security policies and procedures
May assist in,"May assist in the creation, implementation, or management of security solutions."
"Performs security monitoring,","Performs security monitoring, security and data/logs analysis, and forensic analysis, to detect security incidents, and mount the incident response"
Investigates and utilizes,Investigates and utilizes new technologies and processes to enhance security capabilities and implement improvements
May also review,May also review code or perform other security engineering methodologies.
Designs a security,"Designs a security system or major components of a security system, and may head a security design team building a new security system."
=== Chief Information,=== Chief Information Security Officer (CISO) ===
A high-level management,A high-level management position responsible for the entire information security division/staff
The position may,The position may include hands-on technical work.
A high-level management,A high-level management position responsible for the entire security division/staff
A newer position,A newer position is now deemed needed as security risks grow.
A DPO is,"A DPO is tasked with monitoring compliance with data protection laws (such as GDPR), data protection policies, awareness-raising, training, and audits."
=== Security Consultant/Specialist/Intelligence,=== Security Consultant/Specialist/Intelligence ===
Broad titles that,"Broad titles that encompass any one or all of the other roles or titles tasked with protecting computers, networks, software, data or information systems against viruses, worms, spyware, malware, intrusion detection, unauthorized access, denial-of-service attacks, and an ever-increasing list of attacks by hackers acting as individuals or as part of organized crime or foreign governments."
Student programs are,Student programs are also available for people interested in beginning a career in cyber security
"Meanwhile, a flexible","Meanwhile, a flexible and effective option for information security professionals of all experience levels to keep studying is online security training, including webcasts"
A wide range,A wide range of certified courses are also available.
In the United,"In the United Kingdom, a nationwide set of cyber security forums, known as the U.K Cyber Security Forum, were established supported by the Government's cyber security strategy in order to encourage start-ups and innovation and to address the skills gap identified by the U.K Government."
"In Singapore, the","In Singapore, the Cyber Security Agency has issued a Singapore Operational Technology (OT) Cybersecurity Competency Framework (OTCCF)"
The framework defines,The framework defines emerging cyber security roles in Operational Technology
The OTCCF was,The OTCCF was endorsed by the Infocomm Media Development Authority (IMDA)
It outlines the,It outlines the different OT cyber security job positions as well as the technical skills and core competencies necessary
It also depicts,"It also depicts the many career paths available, including vertical and lateral advancement opportunities."
The following terms,The following terms used with regards to computer security are explained below:
Access authorization restricts,Access authorization restricts access to a computer to a group of users through the use of authentication systems
These systems can,"These systems can protect either the whole computer, such as through an interactive login screen, or individual services, such as a FTP server"
There are many,"There are many methods for identifying and authenticating users, such as passwords, identification cards, smart cards, and biometric systems."
Anti-virus software consists,"Anti-virus software consists of computer programs that attempt to identify, thwart, and eliminate computer viruses and other malicious software (malware)."
Applications are executable,"Applications are executable code, so general corporate practice is to restrict or block users the power to install them; to install them only when there is a demonstrated need (e.g"
software needed to,"software needed to perform assignments); to install only those which are known to be reputable (preferably with access to the computer code used to create the application), and to reduce the attack surface by installing as few as possible"
They are typically,"They are typically run with least privilege, with a robust process in place to identify, test and install any released security patches or updates for them."
"For example, programs","For example, programs can be installed into an individual user's account, which limits the program's potential access, as well as being a means control which users have specific exceptions to policy"
"In Linux, FreeBSD,","In Linux, FreeBSD, OpenBSD, and other Unix-like operating systems there is an option to further restrict an application using chroot or other means of restricting the application to its own 'sandbox'"
"Linux provides namespaces,","Linux provides namespaces, and Cgroups to further restrict the access of an application to system resources."
Generalized security frameworks,Generalized security frameworks such as SELinux or AppArmor help administrators control access.
Java and other,Java and other languages which compile to Java byte code and run in the Java virtual machine can have their access to other applications controlled at the virtual machine level.
Some software can,"Some software can be run in software containers which can even provide their own set of system libraries, limiting the software's, or anyone controlling it, access to the server's versions of the libraries."
Authentication techniques can,Authentication techniques can be used to ensure that communication end-points are who they say they are.
Automated theorem proving,Automated theorem proving and other verification tools can be used to enable critical algorithms and code used in secure systems to be mathematically proven to meet their specifications.
Backups are one,Backups are one or more copies kept of important computer files
"Typically, multiple copies","Typically, multiple copies will be kept at different locations so that if a copy is stolen or damaged, other copies will still exist."
Capability and access,Capability and access control list techniques can be used to ensure privilege separation and mandatory access control
Chain of trust,Chain of trust techniques can be used to attempt to ensure that all software loaded has been certified as authentic by the system's designers.
Confidentiality is the,Confidentiality is the nondisclosure of information except to another authorized person.
Cryptographic techniques can,"Cryptographic techniques can be used to defend data in transit between systems, reducing the probability that the data exchange between systems can be intercepted or modified."
"Cyber attribution, is","Cyber attribution,  is an attribution of cybercrime, i.e., finding who perpetrated a cyberattack."
Cyberwarfare is an,Cyberwarfare is an Internet-based conflict that involves politically motivated attacks on information and information systems
"Such attacks can,","Such attacks can, for example, disable official websites and networks, disrupt or disable essential services, steal or alter classified data, and cripple financial systems."
Data integrity is,"Data integrity is the accuracy and consistency of stored data, indicated by an absence of any alteration in data between two updates of a data record."
Encryption is used,Encryption is used to protect the confidentiality of a message
Cryptographically secure ciphers,Cryptographically secure ciphers are designed to make any practical attempt of breaking them infeasible
Symmetric-key ciphers are,"Symmetric-key ciphers are suitable for bulk encryption using shared keys, and public-key encryption using digital certificates can provide a practical solution for the problem of securely communicating when no key is shared in advance."
Endpoint security software,"Endpoint security software aids networks in preventing malware infection and data theft at network entry points made vulnerable by the prevalence of potentially infected devices such as laptops, mobile devices, and USB drives."
Firewalls serve as,"Firewalls serve as a gatekeeper system between networks, allowing only traffic that matches defined rules"
They often include,"They often include detailed logging, and may include intrusion detection and intrusion prevention features"
They are near-universal,"They are near-universal between company local area networks and the Internet, but can also be used internally to impose traffic rules between networks if network segmentation is configured."
A hacker is,A hacker is someone who seeks to breach defenses and exploit weaknesses in a computer system or network.
Honey pots are,Honey pots are computers that are intentionally left vulnerable to attack by crackers
They can be,They can be used to catch crackers and to identify their techniques.
Intrusion-detection systems are,Intrusion-detection systems are devices or software applications that monitor networks or systems for malicious activity or policy violations.
A microkernel is,"A microkernel is an approach to operating system design which has only the near-minimum amount of code running at the most privileged level – and runs other elements of the operating system such as device drivers, protocol stacks and file systems, in the safer, less privileged user space."
The standard ping,The standard ping application can be used to test if an IP address is in use
"If it is,","If it is, attackers may then try a port scan to detect which services are exposed."
A port scan,A port scan is used to probe an IP address for open ports to identify accessible network services and applications.
A key logger,A key logger is spyware that silently captures and stores each keystroke that a user types on the computer's keyboard.
Social engineering is,Social engineering is the use of deception to manipulate individuals to breach security.
Logic bombs is,Logic bombs is a type of malware added to a legitimate program that lies dormant until it is triggered by a specific event.
A unikernel is,A unikernel is a computer program that runs on a minimalistic operating system where a single application is allowed to run (as opposed to a general purpose operating system where many applications can run at the same time)
This approach to,This approach to minimizing the attack surface is adopted mostly in cloud environments where software is deployed in virtual machines.
Zero trust security,"Zero trust security means that no one is trusted by default from inside or outside the network, and verification is required from everyone trying to gain access to resources on the network."
Since the Internet's,"Since the Internet's arrival and with the digital transformation initiated in recent years, the notion of cyber security has become a familiar subject in both our professional and personal lives"
Cyber security and,Cyber security and cyber threats have been consistently present for the last 60 years of technological change
In the 1970s,"In the 1970s and 1980s, computer security was mainly limited to academia until the conception of the Internet, where, with increased connectivity, computer viruses and network intrusions began to take off"
After the spread,"After the spread of viruses in the 1990s, the 2000s marked the institutionalization of organized attacks such as distributed denial of service"
This led to,This led to the formalization of cyber security as a professional discipline.
The April 1967,"The April 1967 session organized by Willis Ware at the Spring Joint Computer Conference, and the later publication of the Ware Report, were foundational moments in the history of the field of computer security"
Ware's work straddled,"Ware's work straddled the intersection of material, cultural, political, and social concerns."
A 1977 NIST,"A 1977 NIST publication introduced the CIA triad of confidentiality, integrity, and availability as a clear and simple way to describe key security goals"
"While still relevant,","While still relevant, many more elaborate frameworks have since been proposed."
"However, in the","However, in the 1970s and 1980s, there were no grave computer threats because computers and the internet  were still in the early stages of development, and security threats were easily identifiable"
"More often, threats","More often, threats came from malicious insiders who gained unauthorized access to sensitive documents and files"
Although malware and,"Although malware and network breaches existed during the early years, they did not use them for financial gain"
By the second,"By the second half of the 1970s, established computer firms like IBM started offering commercial access control systems and computer security software products."
One of the,"One of the earliest examples of an attack on a computer network was the computer worm Creeper written by Bob Thomas at BBN, which propagated through the ARPANET in 1971"
The program was,The program was purely experimental in nature and carried no malicious payload
"A later program,","A later program, Reaper, was created by Ray Tomlinson in 1972 and used to destroy Creeper."
Between September 1986,"Between September 1986 and June 1987, a group of German hackers performed the first documented case of cyber espionage"
The group hacked,"The group hacked into American defense contractors, universities, and military base networks and sold gathered information to the Soviet KGB"
The group was,"The group was led by Markus Hess, who was arrested on 29 June 1987"
He was convicted,He was convicted of espionage (along with two co-conspirators) on 15 Feb 1990.
"In 1988, one","In 1988, one of the first computer worms, called the Morris worm, was distributed via the Internet"
It gained significant,It gained significant mainstream media attention.
Netscape started developing,"Netscape started developing the protocol SSL, shortly after the National Center for Supercomputing Applications (NCSA) launched Mosaic 1.0, the first web browser, in 1993"
Netscape had SSL,"Netscape had SSL version 1.0 ready in 1994, but it was never released to the public due to many serious security vulnerabilities"
"However, in 1995,","However, in 1995, Netscape launched Version 2.0."
The National Security,The National Security Agency (NSA) is responsible for the protection of U.S
information systems and,information systems and also for collecting foreign intelligence
The agency analyzes,"The agency analyzes commonly used software and system configurations to find security flaws, which it can use for offensive purposes against competitors of the United States."
NSA contractors created,"NSA contractors created and sold click-and-shoot attack tools to US agencies and close allies, but eventually, the tools made their way to foreign adversaries"
"In 2016, NSAs","In 2016, NSAs own hacking tools were hacked, and Russia and North Korea have used it"
NSA's employees and,"NSA's employees and contractors have been recruited at high salaries by adversaries, anxious to compete in cyberwarfare"
"In 2007, the","In 2007, the United States and Israel began exploiting security flaws in the Microsoft Windows operating system to attack and damage equipment used in Iran to refine nuclear materials"
Iran responded by,"Iran responded by heavily investing in their own cyberwarfare capability, which it began using against the United States."
"""What's in a","""What's in a Name? Metaphors and Cybersecurity"""
Cybersecurity: A Generic,Cybersecurity: A Generic Reference Curriculum (PDF)
Archived (PDF) from,Archived (PDF) from the original on 10 March 2017.
"""The Roots of","""The Roots of the United States' Cyber (In)Security"" (DOC)"
official reveals secrets,"official reveals secrets behind cyber offense"""
The Hacker Playbook:,The Hacker Playbook: Practical Guide To Penetration Testing
Seattle: CreateSpace Independent,Seattle: CreateSpace Independent Publishing Platform
Counterterrorism and Cybersecurity:,Counterterrorism and Cybersecurity: Total Information Awareness (2nd ed.)
"Montagnani, Maria Lillà;","Montagnani, Maria Lillà; Cavallo, Mirta Antonella (2018)"
"""Cybersecurity and Liability","""Cybersecurity and Liability in a Big Data World"""
"Shariati, Marzieh; Bahmani,","Shariati, Marzieh; Bahmani, Faezeh; Shams, Fereidoon (2011)"
"""Enterprise information security,","""Enterprise information security, a review of architectures and frameworks from interoperability perspective"""
Cybersecurity and Cyberwar:,Cybersecurity and Cyberwar: What Everyone Needs to Know
Introduction to Computer,Introduction to Computer Networks and Cybersecurity
Cybersecurity Best Practices,Cybersecurity Best Practices | Cybersecurity and Infrastructure Security Agency CISA
"Retrieved April 24,","Retrieved April 24, 2024, from https://www.cisa.gov/topics/cybersecurity-best-practices"
"Sztyber-Betley, A., Syfert,","Sztyber-Betley, A., Syfert, M., Kościelny, J"
Controller Cyber-Attack Detection,Controller Cyber-Attack Detection and Isolation †: Sensors (14248220)
A white hat,"A white hat (or a white-hat hacker, a whitehat) is an ethical security hacker"
Ethical hacking is,Ethical hacking is a term meant to imply a broader category than just penetration testing
Under the owner's,"Under the owner's consent, white-hat hackers aim to identify any vulnerabilities or security issues the current system has"
The white hat,"The white hat is contrasted with the black hat, a malicious hacker; this definitional dichotomy comes from Western films, where heroic and antagonistic cowboys might traditionally wear a white and a black hat, respectively"
There is a,There is a third kind of hacker known as a grey hat who hacks with good intentions but at times without permission.
White-hat hackers may,"White-hat hackers may also work in teams called ""sneakers and/or hacker clubs"", red teams, or tiger teams."
One of the,"One of the first instances of an ethical hack being used was a ""security evaluation"" conducted by the United States Air Force in  1972 - 1973, in which the Multics operating systems were tested for ""potential use as a two-level (secret/top secret) system."" The evaluation determined that while Multics was ""significantly better than other conventional systems,"" it also had "".."
vulnerabilities in hardware,"vulnerabilities in hardware security, software security and procedural security"" that could be uncovered with ""a relatively low level of effort."" The authors performed their tests under a guideline of realism, so their results would accurately represent the kinds of access an intruder could potentially achieve"
They performed tests,"They performed tests involving simple information-gathering exercises, as well as outright attacks upon the system that might damage its integrity; both results were of interest to the target audience"
There are several,There are several other now unclassified reports describing ethical hacking activities within the US military.
By 1981 The,"By 1981 The New York Times described white-hat activities as part of a ""mischievous but perversely positive 'hacker' tradition"""
When a National,"When a National CSS employee revealed the existence of his password cracker, which he had used on customer accounts, the company chastised him not for writing the software but for not disclosing it sooner"
The letter of,"The letter of reprimand stated ""The Company realizes the benefit to NCSS and encourages the efforts of employees to identify security weaknesses to the VP, the directory, and other sensitive software in files""."
"On October 20,","On October 20, 2016, the Department of Defense (DOD) announced ""Hack The Pentagon."""
The idea to,The idea to bring this tactic of ethical hacking to assess the security of systems and point out vulnerabilities was formulated by Dan Farmer and Wietse Venema
To raise the,"To raise the overall level of security on the Internet and intranets, they proceeded to describe how they were able to gather enough information about their targets to have been able to compromise security if they had chosen to do so"
They provided several,"They provided several specific examples of how this information could be gathered and exploited to gain control of the target, and how such an attack could be prevented"
They gathered up,"They gathered up all the tools they had used during their work, packaged them in a single, easy-to-use application, and gave it away to anyone who chose to download it"
Their program called,"Their program called Security Administrator Tool for Analyzing Networks, or SATAN, was met with a great amount of media attention around the world in 1992."
While penetration testing,"While penetration testing concentrates on attacking software and computer systems from the start – scanning ports, examining known defects in protocols and applications running on the system, and patch installations, for example – ethical hacking may include other things"
A full-scale ethical,"A full-scale ethical hack might include emailing staff to ask for password details and rummaging through executive dustbins, usually without the knowledge and consent of the targets"
"Only the owners,","Only the owners, CEOs, and Board Members (stakeholders) who asked for such a security review of this magnitude are aware"
To try and,"To try and replicate some of the destructive techniques a real attack might employ, ethical hackers may arrange for cloned test systems, or organize a hack late at night while systems are less critical"
In most recent,"In most recent cases these hacks perpetuate for the long-term con (days, if not weeks, of long-term human infiltration into an organization)"
Some examples include,Some examples include leaving USB/flash key drives with hidden auto-start software in a public area as if someone lost the small drive and an unsuspecting employee found it and took it.
Some other methods,Some other methods of carrying out these include:
